portal.uea.ac.uk/learning-and-teaching/room-bookings,"[['room', 'bookings', 'uea']]"
portal.uea.ac.uk/arm/campus-news/internal-communications/policies,"[['policies', 'uea']]"
portal.uea.ac.uk/en/library,"[['library', 'uea']]"
portal.uea.ac.uk/learning-technology/new-ways-to-engage/online-reading-lists,"[['online', 'reading', 'lists', 'uea']]"
portal.uea.ac.uk/library/subject-guides/law,"[['resources', 'for', 'law', 'uea']]"
portal.uea.ac.uk/procurement/sustainable-procurement/supplier-profiles,"[['supplier', 'profiles', 'uea']]"
portal.uea.ac.uk/library/collections/csed-collection,"[['csed', 'collection', 'uea']]"
portal.uea.ac.uk/library/subject-guides/chemistry,"[['resources', 'for', 'chemistry', 'uea']]"
portal.uea.ac.uk/planningoffice/post-release,"[['post', 'release', 'uea']]"
portal.uea.ac.uk/en/faculty-school-intranets,"[['faculty', 'and', 'school', 'intranets', 'uea']]"
portal.uea.ac.uk/library/subject-guides/mathematics,"[['resources', 'for', 'mathematics', 'uea']]"
portal.uea.ac.uk/web/hub/library/subject-guides/chemistry/reaxys,"[['reaxys', 'uea']]"
portal.uea.ac.uk/library/other-collections,"[['other', 'library', 'collections', 'uea', 'uea']]"
portal.uea.ac.uk/catering/squid,"[['squid', 'uea']]"
portal.uea.ac.uk/academic-calendar,"[['academic', 'calendar', 'uea']]"
portal.uea.ac.uk/en/csed/resources/introductory-conference,"[['induction', 'resources', 'uea']]"
portal.uea.ac.uk/catering/cafes-and-restaurants/ziggys-espresso-bar,"[['ziggy', 'espresso', 'sandwich', 'bar', 'uea']]"
portal.uea.ac.uk/finance/payroll/expenses-and-benefits,"[['staff', 'expenses', 'and', 'benefits', 'at', 'uea', 'uea']]"
portal.uea.ac.uk/student-support-service/wellbeing/disability/whilst-you-are-here/temporary-mobility-difficulties,"[['support', 'for', 'students', 'with', 'temporary', 'disabilities', 'uea']]"
portal.uea.ac.uk/en/vco/intranet,"[['intranet', 'uea']]"
portal.uea.ac.uk/dos,"[['student', 'support', 'service', 'uea']]"
portal.uea.ac.uk/graduationoffice/eligibility,"[['am', 'i', 'eligible', 'uea']]"
portal.uea.ac.uk/student-support-service/contact-us,"[['contact', 'us', 'uea']]"
portal.uea.ac.uk/accommodation/contact-us/environmental-policy,"[['environmental', 'policy', 'uea']]"
portal.uea.ac.uk/student-support-service/finance,"[['finance', 'uea']]"
portal.uea.ac.uk/new-students,"[['new', 'students', 'uea']]"
portal.uea.ac.uk/arm/uk-eu-recruitment-and-outreach/ar-scheme,"[['student', 'accommodation', 'representatives', 'scheme', 'uea']]"
portal.uea.ac.uk/estates/travel-and-transport/personal-travel-planning,"[['personal', 'travel', 'planning', 'uea']]"
